country,Year,Vehicles per 1000 people
France,2004,595
"Micronesia, Fed. Sts.",2004,
United Kingdom,2004,510
Georgia,2004,
Ghana,2004,
Gambia,2004,7
Guinea-Bissau,2004,
Greece,2004,476
Guatemala,2004,
Guyana,2004,
"Hong Kong, China",2004,72
Honduras,2004,
Croatia,2004,337
Hungary,2004,
Indonesia,2004,
India,2004,
Ireland,2004,
Iran,2004,
Iceland,2004,685
Israel,2004,288
Italy,2004,
Jamaica,2004,
Jordan,2004,106
Japan,2004,586
Kazakhstan,2004,100
Kenya,2004,18
Kyrgyz Republic,2004,
Kiribati,2004,
South Korea,2004,311
Kuwait,2004,422
Lao,2004,
Liberia,2004,
Libya,2004,
Sri Lanka,2004,
Lithuania,2004,421
Luxembourg,2004,729
Latvia,2004,348
"Macao, China",2004,147
Morocco,2004,
Monaco,2004,
Moldova,2004,87
Maldives,2004,12
Mexico,2004,200
North Macedonia,2004,
Mali,2004,
Malta,2004,636
Myanmar,2004,
Mongolia,2004,
Mozambique,2004,
Mauritius,2004,130
Malawi,2004,
Malaysia,2004,
Namibia,2004,
Niger,2004,5
Nigeria,2004,
Nicaragua,2004,46
Netherlands,2004,
Norway,2004,535
Nepal,2004,
New Zealand,2004,701
Oman,2004,
Pakistan,2004,14
Panama,2004,
Peru,2004,47
Philippines,2004,
Papua New Guinea,2004,
Poland,2004,386
Puerto Rico,2004,
Portugal,2004,
Paraguay,2004,
Palestine,2004,35
Qatar,2004,
Romania,2004,185
Russia,2004,
Rwanda,2004,
Sudan,2004,
Senegal,2004,
Singapore,2004,134
Sierra Leone,2004,
El Salvador,2004,
Serbia,2004,
Sao Tome and Principe,2004,
Suriname,2004,238
Slovak Republic,2004,256
Slovenia,2004,505
Sweden,2004,508
Eswatini,2004,
Seychelles,2004,
Syria,2004,37.6
Chad,2004,
Togo,2004,
Tajikistan,2004,
Turkmenistan,2004,
Trinidad and Tobago,2004,
Tunisia,2004,95
Turkey,2004,108
Tanzania,2004,
Uganda,2004,
Ukraine,2004,125
Uruguay,2004,
United States,2004,808
St. Vincent and the Grenadines,2004,
Venezuela,2004,
Vietnam,2004,
Samoa,2004,
Yemen,2004,
South Africa,2004,136
Zambia,2004,
Zimbabwe,2004,
Afghanistan,2005,
Angola,2005,
Albania,2005,87.5
Netherlands Antilles,2005,
United Arab Emirates,2005,
Argentina,2005,
Armenia,2005,
Australia,2005,671
Austria,2005,
Azerbaijan,2005,61
Burundi,2005,
Belgium,2005,
Benin,2005,
Burkina Faso,2005,
Bangladesh,2005,
Bulgaria,2005,
Bahrain,2005,
Bahamas,2005,
Bosnia and Herzegovina,2005,
Belarus,2005,
Belize,2005,
Bolivia,2005,
Brazil,2005,
Barbados,2005,
Brunei,2005,
Bhutan,2005,
Botswana,2005,113
Central African Republic,2005,
Canada,2005,
Switzerland,2005,563
Chile,2005,150
China,2005,24
"Congo, Dem. Rep.",2005,
"Congo, Rep.",2005,
Colombia,2005,59
Comoros,2005,
Cape Verde,2005,
Costa Rica,2005,
Cuba,2005,
Cyprus,2005,742
Czech Republic,2005,
Germany,2005,585
Denmark,2005,437
Dominican Republic,2005,115
Algeria,2005,91
Ecuador,2005,61
Eritrea,2005,
Spain,2005,
Estonia,2005,477
Ethiopia,2005,
Finland,2005,531
Fiji,2005,
France,2005,596
"Micronesia, Fed. Sts.",2005,
United Kingdom,2005,517
Georgia,2005,
Ghana,2005,
Gambia,2005,
Guinea-Bissau,2005,
Greece,2005,497
Guatemala,2005,
Guyana,2005,
"Hong Kong, China",2005,
Honduras,2005,
Croatia,2005,349
Hungary,2005,
Indonesia,2005,
India,2005,
Ireland,2005,
Iran,2005,
Iceland,2005,724
Israel,2005,293
Italy,2005,667
Jamaica,2005,
Jordan,2005,115
Japan,2005,
Kazakhstan,2005,116
Kenya,2005,
Kyrgyz Republic,2005,
Kiribati,2005,
South Korea,2005,319
Kuwait,2005,
Lao,2005,
Liberia,2005,
Libya,2005,257
Sri Lanka,2005,51.2
Lithuania,2005,467
Luxembourg,2005,
Latvia,2005,377
"Macao, China",2005,
Morocco,2005,
Monaco,2005,
Moldova,2005,94
Maldives,2005,
Mexico,2005,208
North Macedonia,2005,
Mali,2005,
Malta,2005,
Myanmar,2005,5
Mongolia,2005,
Mozambique,2005,
Mauritius,2005,
Malawi,2005,
Malaysia,2005,
Namibia,2005,
Niger,2005,5
Nigeria,2005,
Nicaragua,2005,
Netherlands,2005,
Norway,2005,546
Nepal,2005,
New Zealand,2005,720
Oman,2005,
Pakistan,2005,
Panama,2005,
Peru,2005,
Philippines,2005,34
Papua New Guinea,2005,
Poland,2005,386
Puerto Rico,2005,
Portugal,2005,
Paraguay,2005,
Palestine,2005,36
Qatar,2005,
Romania,2005,181
Russia,2005,
Rwanda,2005,
Sudan,2005,
Senegal,2005,
Singapore,2005,137
Sierra Leone,2005,
El Salvador,2005,
Serbia,2005,
Sao Tome and Principe,2005,
Suriname,2005,
Slovak Republic,2005,
Slovenia,2005,518
Sweden,2005,513
Eswatini,2005,
Seychelles,2005,
Syria,2005,42.5
Chad,2005,
Togo,2005,
Tajikistan,2005,
Turkmenistan,2005,
Trinidad and Tobago,2005,
Tunisia,2005,
Turkey,2005,117
Tanzania,2005,
Uganda,2005,
Ukraine,2005,128
Uruguay,2005,176
United States,2005,675
St. Vincent and the Grenadines,2005,
Venezuela,2005,
Vietnam,2005,
Samoa,2005,59
Yemen,2005,
South Africa,2005,143
Zambia,2005,
Zimbabwe,2005,
Afghanistan,2006,
Angola,2006,
Albania,2006,97.3
Netherlands Antilles,2006,
United Arab Emirates,2006,
Argentina,2006,
Armenia,2006,
Australia,2006,
Austria,2006,552
Azerbaijan,2006,
Burundi,2006,
Belgium,2006,535
Benin,2006,
Burkina Faso,2006,
Bangladesh,2006,2.05
Bulgaria,2006,
Bahrain,2006,
Bahamas,2006,
Bosnia and Herzegovina,2006,
Belarus,2006,
Belize,2006,
Bolivia,2006,
Brazil,2006,
Barbados,2006,
Brunei,2006,
Bhutan,2006,
Botswana,2006,
Central African Republic,2006,
Canada,2006,
Switzerland,2006,564
Chile,2006,157
China,2006,28.1
"Congo, Dem. Rep.",2006,
"Congo, Rep.",2006,
Colombia,2006,
Comoros,2006,
Cape Verde,2006,
Costa Rica,2006,
Cuba,2006,
Cyprus,2006,
Czech Republic,2006,
Germany,2006,598
Denmark,2006,
Dominican Republic,2006,
Algeria,2006,
Ecuador,2006,66.4
Eritrea,2006,
Spain,2006,
Estonia,2006,
Ethiopia,2006,
Finland,2006,542
Fiji,2006,
France,2006,598
"Micronesia, Fed. Sts.",2006,
United Kingdom,2006,
Georgia,2006,
Ghana,2006,17.9
Gambia,2006,
Guinea-Bissau,2006,
Greece,2006,522
Guatemala,2006,
Guyana,2006,
"Hong Kong, China",2006,70.4
Honduras,2006,
Croatia,2006,366
Hungary,2006,374
Indonesia,2006,
India,2006,
Ireland,2006,
Iran,2006,
Iceland,2006,
Israel,2006,
Italy,2006,
Jamaica,2006,188
Jordan,2006,127
Japan,2006,
Kazakhstan,2006,139
Kenya,2006,
Kyrgyz Republic,2006,
Kiribati,2006,
South Korea,2006,328
Kuwait,2006,
Lao,2006,
Liberia,2006,
Libya,2006,
Sri Lanka,2006,54.7
Lithuania,2006,513
Luxembourg,2006,
Latvia,2006,415
"Macao, China",2006,
Morocco,2006,
Monaco,2006,
Moldova,2006,
Maldives,2006,
Mexico,2006,222
North Macedonia,2006,
Mali,2006,
Malta,2006,
Myanmar,2006,5.79
Mongolia,2006,
Mozambique,2006,
Mauritius,2006,138
Malawi,2006,
Malaysia,2006,
Namibia,2006,
Niger,2006,
Nigeria,2006,
Nicaragua,2006,
Netherlands,2006,
Norway,2006,
Nepal,2006,
New Zealand,2006,722
Oman,2006,
Pakistan,2006,
Panama,2006,
Peru,2006,
Philippines,2006,
Papua New Guinea,2006,
Poland,2006,416
Puerto Rico,2006,
Portugal,2006,
Paraguay,2006,
Palestine,2006,
Qatar,2006,
Romania,2006,
Russia,2006,228
Rwanda,2006,
Sudan,2006,
Senegal,2006,
Singapore,2006,141
Sierra Leone,2006,
El Salvador,2006,
Serbia,2006,244
Sao Tome and Principe,2006,
Suriname,2006,
Slovak Republic,2006,287
Slovenia,2006,531
Sweden,2006,516
Eswatini,2006,
Seychelles,2006,
Syria,2006,47.9
Chad,2006,5.84
Togo,2006,
Tajikistan,2006,
Turkmenistan,2006,
Trinidad and Tobago,2006,
Tunisia,2006,
Turkey,2006,124
Tanzania,2006,
Uganda,2006,
Ukraine,2006,
Uruguay,2006,
United States,2006,
St. Vincent and the Grenadines,2006,
Venezuela,2006,
Vietnam,2006,
Samoa,2006,
Yemen,2006,
South Africa,2006,151
Zambia,2006,
Zimbabwe,2006,
Afghanistan,2007,22.8
Angola,2007,39.6
Albania,2007,102
Netherlands Antilles,2007,1210
United Arab Emirates,2007,313
Argentina,2007,314
Armenia,2007,105
Australia,2007,653
Austria,2007,557
Azerbaijan,2007,
Burundi,2007,5.67
Belgium,2007,539
Benin,2007,20.6
Burkina Faso,2007,10.8
Bangladesh,2007,2.26
Bulgaria,2007,295
Bahrain,2007,482
Bahamas,2007,81.7
Bosnia and Herzegovina,2007,170
Belarus,2007,282
Belize,2007,178
Bolivia,2007,68.4
Brazil,2007,198
Barbados,2007,406
Brunei,2007,696
Bhutan,2007,38.3
Botswana,2007,114
Central African Republic,2007,0.295
Canada,2007,597
Switzerland,2007,569
Chile,2007,164
China,2007,32.2
"Congo, Dem. Rep.",2007,5
"Congo, Rep.",2007,25.8
Colombia,2007,65.6
Comoros,2007,33.5
Cape Verde,2007,94
Costa Rica,2007,152
Cuba,2007,38
Cyprus,2007,622
Czech Republic,2007,470
Germany,2007,623
Denmark,2007,466
Dominican Republic,2007,123
Algeria,2007,
Ecuador,2007,63.1
Eritrea,2007,11.3
Spain,2007,601
Estonia,2007,444
Ethiopia,2007,3
Finland,2007,559
Fiji,2007,173
France,2007,601
"Micronesia, Fed. Sts.",2007,36.5
United Kingdom,2007,527
Georgia,2007,116
Ghana,2007,33
Gambia,2007,7.28
Guinea-Bissau,2007,32.9
Greece,2007,112
Guatemala,2007,117
Guyana,2007,95.4
"Hong Kong, China",2007,72.4
Honduras,2007,96.9
Croatia,2007,377
Hungary,2007,384
Indonesia,2007,75.8
India,2007,
Ireland,2007,537
Iran,2007,15.6
Iceland,2007,774
Israel,2007,305
Italy,2007,677
Jamaica,2007,
Jordan,2007,137
Japan,2007,595
Kazakhstan,2007,170
Kenya,2007,21.1
Kyrgyz Republic,2007,59.1
Kiribati,2007,144
South Korea,2007,338
Kuwait,2007,502
Lao,2007,20.8
Liberia,2007,2.87
Libya,2007,291
Sri Lanka,2007,57.9
Lithuania,2007,479
Luxembourg,2007,512
Latvia,2007,459
"Macao, China",2007,181
Morocco,2007,71
Monaco,2007,872
Moldova,2007,120
Maldives,2007,19.7
Mexico,2007,244
North Macedonia,2007,136
Mali,2007,9.22
Malta,2007,558
Myanmar,2007,7.07
Mongolia,2007,61.5
Mozambique,2007,9.93
Mauritius,2007,150
Malawi,2007,8.59
Malaysia,2007,
Namibia,2007,109
Niger,2007,
Nigeria,2007,30.8
Nicaragua,2007,47.8
Netherlands,2007,503
Norway,2007,572
Nepal,2007,5.27
New Zealand,2007,729
Oman,2007,225
Pakistan,2007,11.1
Panama,2007,188
Peru,2007,51.7
Philippines,2007,32
Papua New Guinea,2007,8.87
Poland,2007,451
Puerto Rico,2007,642
Portugal,2007,
Paraguay,2007,82
Palestine,2007,16.1
Qatar,2007,724
Romania,2007,
Russia,2007,245
Rwanda,2007,3.88
Sudan,2007,28
Senegal,2007,20.4
Singapore,2007,149
Sierra Leone,2007,5.21
El Salvador,2007,83.7
Serbia,2007,223
Sao Tome and Principe,2007,2.16
Suriname,2007,
Slovak Republic,2007,282
Slovenia,2007,547
Sweden,2007,523
Eswatini,2007,89
Seychelles,2007,173
Syria,2007,51.5
Chad,2007,
Togo,2007,1.98
Tajikistan,2007,38.2
Turkmenistan,2007,106
Trinidad and Tobago,2007,351
Tunisia,2007,103
Turkey,2007,131
Tanzania,2007,11.7
Uganda,2007,6.5
Ukraine,2007,140
Uruguay,2007,
United States,2007,820
St. Vincent and the Grenadines,2007,204
Venezuela,2007,147
Vietnam,2007,13.5
Samoa,2007,
Yemen,2007,34.8
South Africa,2007,159
Zambia,2007,17.7
Zimbabwe,2007,106
